id,testimony,topic
rec_cocs13t23jsre5ghad0g,rec_cocrpk523jsre5gha9dg,rec_cobdesq5ojbselbdqr8g
rec_cocs13t23jsre5ghad10,rec_cocrpk523jsre5gha9e0,rec_cobdesq5ojbselbdqr8g
rec_cocs13t23jsre5ghad1g,rec_cocrpk523jsre5gha9eg,rec_cobdesq5ojbselbdqr8g
rec_cocs13t23jsre5ghad20,rec_cocrpk523jsre5gha9f0,rec_cobdesq5ojbselbdqr8g
rec_cocs13t23jsre5ghad2g,rec_cocrpk523jsre5gha9fg,rec_cobdesq5ojbselbdqr8g
rec_cocs13t23jsre5ghad30,rec_cocrpk523jsre5gha9g0,rec_cobdesq5ojbselbdqr8g
rec_cocs13t23jsre5ghad3g,rec_cocrpk523jsre5gha9gg,rec_cobdesq5ojbselbdqr8g
rec_cocs13t23jsre5ghad40,rec_cocrpk523jsre5gha9h0,rec_cobdesq5ojbselbdqr8g
rec_cocs13t23jsre5ghad4g,rec_cocrpk523jsre5gha9hg,rec_cobdesq5ojbselbdqr8g
rec_cocs13t23jsre5ghad50,rec_cocrpk523jsre5gha9c0,rec_cobdet25ojbselbdqrs0
rec_cocs13t23jsre5ghad5g,rec_cocrpk523jsre5gha9cg,rec_cobdet25ojbselbdqrs0
rec_cocs13t23jsre5ghad60,rec_cocrpk523jsre5gha9d0,rec_cobdet25ojbselbdqrs0
rec_cocs13t23jsre5ghad6g,rec_cocrpk523jsre5gha9dg,rec_cobdet25ojbselbdqrs0
rec_cocs13t23jsre5ghad70,rec_cocrpk523jsre5gha9e0,rec_cobdet25ojbselbdqrs0
rec_cocs13t23jsre5ghad7g,rec_cocrpk523jsre5gha9eg,rec_cobdet25ojbselbdqrs0
rec_cocs13t23jsre5ghad80,rec_cocrpk523jsre5gha9f0,rec_cobdet25ojbselbdqrs0
rec_cocs13t23jsre5ghad8g,rec_cocrpk523jsre5gha9fg,rec_cobdet25ojbselbdqrs0
rec_cocs13t23jsre5ghad90,rec_cocrpk523jsre5gha9g0,rec_cobdet25ojbselbdqrs0
rec_cocs13t23jsre5ghad9g,rec_cocrpk523jsre5gha9gg,rec_cobdet25ojbselbdqrs0
rec_cocs13t23jsre5ghada0,rec_cocrpk523jsre5gha9h0,rec_cobdet25ojbselbdqrs0
rec_cocs13t23jsre5ghadag,rec_cocrpk523jsre5gha9hg,rec_cobdet25ojbselbdqrs0
rec_cocs13t23jsre5ghadb0,rec_cocrpk523jsre5gha9c0,rec_cobdet25ojbselbdqrvg
